วันที่,เลขชนิด,ชนิดรถ,เลขประเภท,ประเภทรถ,ความเร็วเฉลี่ย่,ส่วนเบี่ยงเบนมาตรฐานความเร็ว
2019-04-01,0,,0,,48.0,12.35
2019-04-01,1,รถโดยสารประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,58.0,24.47
2019-04-01,1,รถโดยสารประจำทาง,02,รถโดยสารปรับอากาศชั้น2,45.0,23.79
2019-04-01,1,รถโดยสารประจำทาง,03,รถโดยสารธรรมดา,27.0,16.47
2019-04-01,1,รถโดยสารประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,63.0,24.06
2019-04-01,1,รถโดยสารประจำทาง,96,รถโดยสารระหว่างประเทศ,42.0,26.54
2019-04-01,1,รถโดยสารประจำทาง,99,ไม่สามารถระบุได้,40.0,30.5
2019-04-01,3,รถโดยสารไม่ประจำทาง,01,รถโดยสารปรับอากาศพิเศษ,35.0,20.68
2019-04-01,3,รถโดยสารไม่ประจำทาง,02,รถโดยสารปรับอากาศชั้น2,38.0,20.94
2019-04-01,3,รถโดยสารไม่ประจำทาง,03,รถโดยสารธรรมดา,38.0,19.63
2019-04-01,3,รถโดยสารไม่ประจำทาง,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,39.0,20.29
2019-04-01,3,รถโดยสารไม่ประจำทาง,95,รถโดยสารพ่วง,51.0,35.84
2019-04-01,3,รถโดยสารไม่ประจำทาง,97,รถโดยสารเฉพาะกิจ,45.0,19.87
2019-04-01,3,รถโดยสารไม่ประจำทาง,99,ไม่สามารถระบุได้,25.0,17.34
2019-04-01,4,รถโดยสารส่วนบุคคล,01,รถโดยสารปรับอากาศพิเศษ,43.0,19.66
2019-04-01,4,รถโดยสารส่วนบุคคล,02,รถโดยสารปรับอากาศชั้น2,31.0,18.28
2019-04-01,4,รถโดยสารส่วนบุคคล,03,รถโดยสารธรรมดา,30.0,21.24
2019-04-01,4,รถโดยสารส่วนบุคคล,04,รถโดยสาร 2 ชั้นปรับอากาศพิเศษ,30.0,13.53
2019-04-01,4,รถโดยสารส่วนบุคคล,97,รถโดยสารเฉพาะกิจ,57.0,21.63
2019-04-01,5,บรรทุกส่วนบุคคล,11,กระบะบรรทุก,29.0,15.7
2019-04-01,5,บรรทุกส่วนบุคคล,12,ตู้บรรทุก,44.0,18.04
2019-04-01,5,บรรทุกส่วนบุคคล,13,บรรทุกของเหลว,23.0,12.76
2019-04-01,5,บรรทุกส่วนบุคคล,14,บรรทุกวัตถุอันตราย,40.0,16.41
2019-04-01,5,บรรทุกส่วนบุคคล,15,บรรทุกเฉพาะกิจ,28.0,16.04
2019-04-01,5,บรรทุกส่วนบุคคล,19,ลากจูง,38.0,16.74
2019-04-01,6,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,36.0,17.94
2019-04-01,6,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,45.0,17.11
2019-04-01,6,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,40.0,16.78
2019-04-01,6,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.29
2019-04-01,6,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,33.0,16.17
2019-04-01,6,รถบรรทุกไม่ประจำทาง,19,ลากจูง,40.0,17.36
2019-04-01,6,รถบรรทุกไม่ประจำทาง,99,ไม่สามารถระบุได้,28.0,15.78
2019-04-01,7,รถบรรทุกไม่ประจำทาง,11,กระบะบรรทุก,40.0,17.24
2019-04-01,7,รถบรรทุกไม่ประจำทาง,12,ตู้บรรทุก,43.0,18.26
2019-04-01,7,รถบรรทุกไม่ประจำทาง,13,บรรทุกของเหลว,41.0,16.41
2019-04-01,7,รถบรรทุกไม่ประจำทาง,14,บรรทุกวัตถุอันตราย,44.0,17.82
2019-04-01,7,รถบรรทุกไม่ประจำทาง,15,บรรทุกเฉพาะกิจ,30.0,16.18
2019-04-01,7,รถบรรทุกไม่ประจำทาง,19,ลากจูง,40.0,17.33
